city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,6
sj,2008,20,6
sj,2008,21,7
sj,2008,22,7
sj,2008,23,10
sj,2008,24,10
sj,2008,25,13
sj,2008,26,13
sj,2008,27,14
sj,2008,28,14
sj,2008,29,18
sj,2008,30,22
sj,2008,31,23
sj,2008,32,45
sj,2008,33,40
sj,2008,34,71
sj,2008,35,75
sj,2008,36,73
sj,2008,37,77
sj,2008,38,77
sj,2008,39,55
sj,2008,40,71
sj,2008,41,48
sj,2008,42,48
sj,2008,43,36
sj,2008,44,33
sj,2008,45,48
sj,2008,46,48
sj,2008,47,29
sj,2008,48,29
sj,2008,49,26
sj,2008,50,17
sj,2008,51,17
sj,2008,52,17
sj,2009,1,14
sj,2009,2,14
sj,2009,3,11
sj,2009,4,10
sj,2009,5,10
sj,2009,6,9
sj,2009,7,10
sj,2009,8,8
sj,2009,9,8
sj,2009,10,6
sj,2009,11,6
sj,2009,12,5
sj,2009,13,5
sj,2009,14,3
sj,2009,15,3
sj,2009,16,5
sj,2009,17,6
sj,2009,18,7
sj,2009,19,6
sj,2009,20,8
sj,2009,21,4
sj,2009,22,8
sj,2009,23,8
sj,2009,24,8
sj,2009,25,10
sj,2009,26,10
sj,2009,27,15
sj,2009,28,21
sj,2009,29,25
sj,2009,30,21
sj,2009,31,40
sj,2009,32,33
sj,2009,33,40
sj,2009,34,71
sj,2009,35,75
sj,2009,36,77
sj,2009,37,75
sj,2009,38,77
sj,2009,39,76
sj,2009,40,75
sj,2009,41,71
sj,2009,42,75
sj,2009,43,75
sj,2009,44,48
sj,2009,45,33
sj,2009,46,33
sj,2009,47,48
sj,2009,48,48
sj,2009,49,26
sj,2009,50,26
sj,2009,51,26
sj,2009,52,26
sj,2010,53,15
sj,2010,1,10
sj,2010,2,10
sj,2010,3,14
sj,2010,4,13
sj,2010,5,10
sj,2010,6,11
sj,2010,7,10
sj,2010,8,8
sj,2010,9,10
sj,2010,10,8
sj,2010,11,6
sj,2010,12,12
sj,2010,13,7
sj,2010,14,6
sj,2010,15,6
sj,2010,16,7
sj,2010,17,8
sj,2010,18,12
sj,2010,19,8
sj,2010,20,12
sj,2010,21,10
sj,2010,22,12
sj,2010,23,18
sj,2010,24,18
sj,2010,25,16
sj,2010,26,14
sj,2010,27,25
sj,2010,28,33
sj,2010,29,21
sj,2010,30,21
sj,2010,31,41
sj,2010,32,75
sj,2010,33,75
sj,2010,34,75
sj,2010,35,77
sj,2010,36,73
sj,2010,37,75
sj,2010,38,77
sj,2010,39,75
sj,2010,40,75
sj,2010,41,76
sj,2010,42,75
sj,2010,43,46
sj,2010,44,48
sj,2010,45,48
sj,2010,46,26
sj,2010,47,20
sj,2010,48,17
sj,2010,49,17
sj,2010,50,17
sj,2010,51,17
sj,2011,52,11
sj,2011,1,15
sj,2011,2,10
sj,2011,3,9
sj,2011,4,14
sj,2011,5,11
sj,2011,6,9
sj,2011,7,8
sj,2011,8,7
sj,2011,9,7
sj,2011,10,6
sj,2011,11,6
sj,2011,12,4
sj,2011,13,5
sj,2011,14,7
sj,2011,15,6
sj,2011,16,4
sj,2011,17,5
sj,2011,18,8
sj,2011,19,6
sj,2011,20,3
sj,2011,21,7
sj,2011,22,10
sj,2011,23,10
sj,2011,24,11
sj,2011,25,25
sj,2011,26,20
sj,2011,27,18
sj,2011,28,18
sj,2011,29,14
sj,2011,30,30
sj,2011,31,21
sj,2011,32,48
sj,2011,33,71
sj,2011,34,48
sj,2011,35,55
sj,2011,36,75
sj,2011,37,75
sj,2011,38,48
sj,2011,39,48
sj,2011,40,76
sj,2011,41,75
sj,2011,42,48
sj,2011,43,30
sj,2011,44,48
sj,2011,45,48
sj,2011,46,33
sj,2011,47,29
sj,2011,48,29
sj,2011,49,17
sj,2011,50,17
sj,2011,51,17
sj,2012,52,13
sj,2012,1,14
sj,2012,2,13
sj,2012,3,14
sj,2012,4,11
sj,2012,5,9
sj,2012,6,9
sj,2012,7,9
sj,2012,8,8
sj,2012,9,7
sj,2012,10,5
sj,2012,11,6
sj,2012,12,5
sj,2012,13,3
sj,2012,14,4
sj,2012,15,7
sj,2012,16,5
sj,2012,17,5
sj,2012,18,8
sj,2012,19,5
sj,2012,20,10
sj,2012,21,7
sj,2012,22,8
sj,2012,23,12
sj,2012,24,13
sj,2012,25,21
sj,2012,26,18
sj,2012,27,20
sj,2012,28,14
sj,2012,29,18
sj,2012,30,21
sj,2012,31,34
sj,2012,32,25
sj,2012,33,71
sj,2012,34,75
sj,2012,35,48
sj,2012,36,71
sj,2012,37,41
sj,2012,38,71
sj,2012,39,71
sj,2012,40,76
sj,2012,41,71
sj,2012,42,56
sj,2012,43,75
sj,2012,44,77
sj,2012,45,71
sj,2012,46,48
sj,2012,47,71
sj,2012,48,29
sj,2012,49,25
sj,2012,50,17
sj,2012,51,17
sj,2013,1,13
sj,2013,2,10
sj,2013,3,11
sj,2013,4,14
sj,2013,5,11
sj,2013,6,10
sj,2013,7,9
sj,2013,8,9
sj,2013,9,8
sj,2013,10,11
sj,2013,11,6
sj,2013,12,3
sj,2013,13,7
sj,2013,14,6
sj,2013,15,7
sj,2013,16,6
sj,2013,17,5
iq,2010,26,4
iq,2010,27,3
iq,2010,28,5
iq,2010,29,3
iq,2010,30,4
iq,2010,31,5
iq,2010,32,5
iq,2010,33,2
iq,2010,34,5
iq,2010,35,5
iq,2010,36,4
iq,2010,37,2
iq,2010,38,8
iq,2010,39,4
iq,2010,40,7
iq,2010,41,5
iq,2010,42,5
iq,2010,43,4
iq,2010,44,5
iq,2010,45,9
iq,2010,46,4
iq,2010,47,5
iq,2010,48,5
iq,2010,49,6
iq,2010,50,6
iq,2010,51,3
iq,2011,52,11
iq,2011,1,16
iq,2011,2,10
iq,2011,3,12
iq,2011,4,11
iq,2011,5,10
iq,2011,6,17
iq,2011,7,10
iq,2011,8,11
iq,2011,9,9
iq,2011,10,8
iq,2011,11,9
iq,2011,12,8
iq,2011,13,6
iq,2011,14,6
iq,2011,15,5
iq,2011,16,3
iq,2011,17,5
iq,2011,18,6
iq,2011,19,1
iq,2011,20,3
iq,2011,21,4
iq,2011,22,3
iq,2011,23,1
iq,2011,24,5
iq,2011,25,1
iq,2011,26,3
iq,2011,27,2
iq,2011,28,2
iq,2011,29,5
iq,2011,30,2
iq,2011,31,5
iq,2011,32,5
iq,2011,33,4
iq,2011,34,4
iq,2011,35,5
iq,2011,36,2
iq,2011,37,3
iq,2011,38,6
iq,2011,39,5
iq,2011,40,5
iq,2011,41,4
iq,2011,42,7
iq,2011,43,6
iq,2011,44,5
iq,2011,45,4
iq,2011,46,7
iq,2011,47,4
iq,2011,48,4
iq,2011,49,4
iq,2011,50,5
iq,2011,51,6
iq,2012,52,9
iq,2012,1,11
iq,2012,2,11
iq,2012,3,11
iq,2012,4,9
iq,2012,5,12
iq,2012,6,12
iq,2012,7,16
iq,2012,8,10
iq,2012,9,9
iq,2012,10,6
iq,2012,11,3
iq,2012,12,5
iq,2012,13,6
iq,2012,14,3
iq,2012,15,7
iq,2012,16,6
iq,2012,17,5
iq,2012,18,4
iq,2012,19,3
iq,2012,20,4
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,5
iq,2012,26,3
iq,2012,27,3
iq,2012,28,1
iq,2012,29,3
iq,2012,30,3
iq,2012,31,2
iq,2012,32,3
iq,2012,33,3
iq,2012,34,5
iq,2012,35,4
iq,2012,36,3
iq,2012,37,5
iq,2012,38,5
iq,2012,39,5
iq,2012,40,5
iq,2012,41,5
iq,2012,42,4
iq,2012,43,4
iq,2012,44,5
iq,2012,45,7
iq,2012,46,5
iq,2012,47,5
iq,2012,48,8
iq,2012,49,5
iq,2012,50,4
iq,2012,51,4
iq,2013,1,8
iq,2013,2,11
iq,2013,3,10
iq,2013,4,9
iq,2013,5,11
iq,2013,6,10
iq,2013,7,11
iq,2013,8,9
iq,2013,9,10
iq,2013,10,11
iq,2013,11,9
iq,2013,12,10
iq,2013,13,9
iq,2013,14,7
iq,2013,15,6
iq,2013,16,6
iq,2013,17,4
iq,2013,18,5
iq,2013,19,5
iq,2013,20,5
iq,2013,21,4
iq,2013,22,5
iq,2013,23,5
iq,2013,24,2
iq,2013,25,3
iq,2013,26,3
