city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,5
sj,2008,20,9
sj,2008,21,17
sj,2008,22,8
sj,2008,23,9
sj,2008,24,11
sj,2008,25,26
sj,2008,26,17
sj,2008,27,15
sj,2008,28,15
sj,2008,29,20
sj,2008,30,19
sj,2008,31,25
sj,2008,32,34
sj,2008,33,43
sj,2008,34,36
sj,2008,35,44
sj,2008,36,76
sj,2008,37,67
sj,2008,38,57
sj,2008,39,50
sj,2008,40,52
sj,2008,41,46
sj,2008,42,43
sj,2008,43,37
sj,2008,44,43
sj,2008,45,42
sj,2008,46,48
sj,2008,47,36
sj,2008,48,36
sj,2008,49,28
sj,2008,50,26
sj,2008,51,23
sj,2008,52,24
sj,2009,1,21
sj,2009,2,16
sj,2009,3,17
sj,2009,4,13
sj,2009,5,15
sj,2009,6,12
sj,2009,7,12
sj,2009,8,10
sj,2009,9,11
sj,2009,10,10
sj,2009,11,6
sj,2009,12,6
sj,2009,13,5
sj,2009,14,6
sj,2009,15,5
sj,2009,16,6
sj,2009,17,6
sj,2009,18,6
sj,2009,19,6
sj,2009,20,3
sj,2009,21,4
sj,2009,22,11
sj,2009,23,9
sj,2009,24,10
sj,2009,25,10
sj,2009,26,12
sj,2009,27,25
sj,2009,28,27
sj,2009,29,26
sj,2009,30,31
sj,2009,31,38
sj,2009,32,33
sj,2009,33,37
sj,2009,34,43
sj,2009,35,52
sj,2009,36,49
sj,2009,37,41
sj,2009,38,39
sj,2009,39,45
sj,2009,40,63
sj,2009,41,60
sj,2009,42,58
sj,2009,43,39
sj,2009,44,38
sj,2009,45,33
sj,2009,46,32
sj,2009,47,52
sj,2009,48,41
sj,2009,49,38
sj,2009,50,31
sj,2009,51,31
sj,2009,52,32
sj,2010,53,21
sj,2010,1,21
sj,2010,2,19
sj,2010,3,14
sj,2010,4,14
sj,2010,5,13
sj,2010,6,13
sj,2010,7,12
sj,2010,8,10
sj,2010,9,19
sj,2010,10,10
sj,2010,11,10
sj,2010,12,16
sj,2010,13,9
sj,2010,14,9
sj,2010,15,6
sj,2010,16,7
sj,2010,17,11
sj,2010,18,14
sj,2010,19,8
sj,2010,20,12
sj,2010,21,17
sj,2010,22,22
sj,2010,23,41
sj,2010,24,33
sj,2010,25,20
sj,2010,26,21
sj,2010,27,31
sj,2010,28,41
sj,2010,29,26
sj,2010,30,28
sj,2010,31,36
sj,2010,32,69
sj,2010,33,53
sj,2010,34,60
sj,2010,35,80
sj,2010,36,62
sj,2010,37,56
sj,2010,38,45
sj,2010,39,42
sj,2010,40,52
sj,2010,41,71
sj,2010,42,51
sj,2010,43,49
sj,2010,44,38
sj,2010,45,41
sj,2010,46,33
sj,2010,47,28
sj,2010,48,29
sj,2010,49,21
sj,2010,50,27
sj,2010,51,22
sj,2011,52,15
sj,2011,1,11
sj,2011,2,16
sj,2011,3,12
sj,2011,4,12
sj,2011,5,14
sj,2011,6,12
sj,2011,7,9
sj,2011,8,11
