city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,10
sj,2008,20,9
sj,2008,21,12
sj,2008,22,11
sj,2008,23,12
sj,2008,24,10
sj,2008,25,20
sj,2008,26,19
sj,2008,27,23
sj,2008,28,17
sj,2008,29,27
sj,2008,30,25
sj,2008,31,20
sj,2008,32,38
sj,2008,33,37
sj,2008,34,35
sj,2008,35,44
sj,2008,36,58
sj,2008,37,52
sj,2008,38,51
sj,2008,39,43
sj,2008,40,46
sj,2008,41,43
sj,2008,42,38
sj,2008,43,30
sj,2008,44,29
sj,2008,45,31
sj,2008,46,36
sj,2008,47,33
sj,2008,48,27
sj,2008,49,28
sj,2008,50,17
sj,2008,51,20
sj,2008,52,14
sj,2009,1,13
sj,2009,2,13
sj,2009,3,15
sj,2009,4,14
sj,2009,5,20
sj,2009,6,11
sj,2009,7,14
sj,2009,8,10
sj,2009,9,10
sj,2009,10,8
sj,2009,11,13
sj,2009,12,8
sj,2009,13,6
sj,2009,14,9
sj,2009,15,7
sj,2009,16,6
sj,2009,17,8
sj,2009,18,9
sj,2009,19,10
sj,2009,20,9
sj,2009,21,8
sj,2009,22,17
sj,2009,23,9
sj,2009,24,11
sj,2009,25,14
sj,2009,26,12
sj,2009,27,21
sj,2009,28,29
sj,2009,29,31
sj,2009,30,33
sj,2009,31,36
sj,2009,32,35
sj,2009,33,31
sj,2009,34,46
sj,2009,35,49
sj,2009,36,44
sj,2009,37,37
sj,2009,38,46
sj,2009,39,50
sj,2009,40,53
sj,2009,41,51
sj,2009,42,53
sj,2009,43,40
sj,2009,44,39
sj,2009,45,32
sj,2009,46,26
sj,2009,47,41
sj,2009,48,41
sj,2009,49,27
sj,2009,50,21
sj,2009,51,28
sj,2009,52,26
sj,2010,53,23
sj,2010,1,23
sj,2010,2,13
sj,2010,3,22
sj,2010,4,20
sj,2010,5,12
sj,2010,6,15
sj,2010,7,13
sj,2010,8,12
sj,2010,9,18
sj,2010,10,14
sj,2010,11,11
sj,2010,12,12
sj,2010,13,11
sj,2010,14,9
sj,2010,15,7
sj,2010,16,9
sj,2010,17,19
sj,2010,18,20
sj,2010,19,10
sj,2010,20,16
sj,2010,21,19
sj,2010,22,33
sj,2010,23,36
sj,2010,24,36
sj,2010,25,23
sj,2010,26,25
sj,2010,27,44
sj,2010,28,40
sj,2010,29,34
sj,2010,30,28
sj,2010,31,37
sj,2010,32,51
sj,2010,33,56
sj,2010,34,56
sj,2010,35,63
sj,2010,36,55
sj,2010,37,44
sj,2010,38,50
sj,2010,39,43
sj,2010,40,52
sj,2010,41,56
sj,2010,42,52
sj,2010,43,42
sj,2010,44,33
sj,2010,45,43
sj,2010,46,29
sj,2010,47,23
sj,2010,48,23
sj,2010,49,21
sj,2010,50,21
sj,2010,51,17
sj,2011,52,13
sj,2011,1,25
sj,2011,2,19
sj,2011,3,15
sj,2011,4,14
sj,2011,5,12
sj,2011,6,12
sj,2011,7,9
sj,2011,8,10
sj,2011,9,8
sj,2011,10,7
sj,2011,11,8
sj,2011,12,7
sj,2011,13,11
sj,2011,14,11
sj,2011,15,8
sj,2011,16,11
sj,2011,17,7
sj,2011,18,12
sj,2011,19,9
sj,2011,20,12
sj,2011,21,13
sj,2011,22,18
sj,2011,23,19
sj,2011,24,28
sj,2011,25,33
sj,2011,26,28
